file,label,n_points,geo_class,method,rec_status,n_vertices,n_faces,cloud_to_mesh_mean,cloud_to_mesh_max,cloud_to_mesh_rmse,cloud_to_mesh_median,mesh_to_cloud_mean,mesh_to_cloud_rmse,hausdorff_approx,surface_area,n_mesh_components,largest_comp_ratio
valve_0401_lidar_classes.ply,6,607,complex,poisson,ok,3344,6410,0.955251809491142,4.901874661733717,1.1012399329271134,0.8836594948324382,3.41677305469366,4.5727913228101835,12.730323769578634,9586.346064626921,4,0.9962558502340093
valve_0401_lidar_classes.ply,7,307,complex,ball_pivoting,ok,299,496,0.0862160344014182,3.731309328733326,0.5355004586436423,0.0,0.0,0.0,3.731309328733326,3801.191377595788,7,0.969758064516129
valve_0401_lidar_classes.ply,8,683,complex,ball_pivoting,ok,681,1265,0.01065437453007578,3.7596233170751914,0.19699896576684597,0.0,0.0,0.0,3.7596233170751914,9206.84679797185,1,1.0
valve_0401_lidar_classes.ply,9,2723,spherical,ball_pivoting,ok,2705,5280,0.02653766021154224,6.00677525381579,0.33081952481491345,0.0,0.0,0.0,6.00677525381579,36598.29003101701,1,1.0
valve_0402_lidar_classes.ply,0,705,planar,poisson,ok,2569,5009,1.094397025861052,8.790324224823042,1.643035157042939,0.8699576042184785,6.9536385092356525,12.332862516963166,55.92280957454702,15473.176081249596,1,1.0
valve_0402_lidar_classes.ply,1,148,complex,poisson,ok,3105,5860,0.695052867756025,4.112998717512213,0.86413232480989,0.6135112763823836,4.295863315301307,5.43393503292258,15.50592246918524,4635.353199889552,31,0.9563139931740614
valve_0402_lidar_classes.ply,3,471,tubular,ball_pivoting,ok,451,739,0.20036614982534437,5.45189958279176,0.9832471985336649,0.0,0.0,0.0,5.45189958279176,5470.958931487381,7,0.9756427604871448
valve_0402_lidar_classes.ply,5,839,complex,poisson,ok,3169,6105,1.0841264039243343,6.609235268458815,1.1887042818624922,1.1035126947884097,4.716264450954434,6.693754415472952,21.325787387058536,17811.56085276829,1,1.0
valve_0402_lidar_classes.ply,6,228,complex,poisson,ok,1925,3645,0.8105875562382909,2.4915096644177086,0.8722222877310766,0.8387407782394786,3.6732010675729816,4.787978028882193,16.79977541553849,5564.779633479692,1,1.0
valve_0402_lidar_classes.ply,7,440,complex,poisson,ok,3249,6213,1.0813197437174895,3.8615564627348626,1.259393715378705,0.9812482873070003,4.89403517262658,6.392796279686828,17.660924830212572,10937.996841906803,2,0.9987123772734589
valve_0402_lidar_classes.ply,8,585,complex,poisson,ok,3132,6005,0.9900363529654751,3.633594003140606,1.0769995399969763,1.0234827798366062,4.417393532242074,5.953137801151342,20.790240638167884,14556.028572767544,1,1.0
valve_0402_lidar_classes.ply,9,3124,spherical,ball_pivoting,ok,3105,6053,0.024657205634568986,4.691557595098358,0.31689237721528773,0.0,0.0,0.0,4.691557595098358,41602.339843270354,1,1.0
valve_0403_lidar_classes.ply,0,698,tubular,ball_pivoting,ok,691,1248,0.04693884180940723,6.462029390743035,0.49252499990223586,0.0,0.0,0.0,6.462029390743035,7815.842291713665,10,0.9895833333333334
valve_0403_lidar_classes.ply,1,193,complex,poisson,ok,2829,5434,0.832737239962558,5.6774669228260235,1.0841076838976225,0.6965397838816084,5.417409080476815,6.854858633428459,18.06974525544367,6039.079220997166,7,0.9911667280088333
valve_0403_lidar_classes.ply,2,94,complex,poisson,ok,2181,4123,0.37939074837019293,2.6518069312136134,0.4714084078368673,0.36190036496956135,1.5747165217586414,1.7809529553775438,5.274429282753032,997.6711539032666,24,0.955372301722047
valve_0403_lidar_classes.ply,3,765,tubular,ball_pivoting,ok,537,969,1.3734466525147742,5.846996383451774,2.577173287355361,0.0,0.0,0.0,5.846996383451774,6081.476579953432,1,1.0
valve_0403_lidar_classes.ply,4,106,complex,poisson,ok,2471,4688,0.5807400565641556,4.266806474351432,0.7108804075141718,0.5503788301900738,5.151935291233687,6.44983228683782,17.641774892286374,3574.1736635447905,1,1.0
valve_0403_lidar_classes.ply,5,1075,complex,poisson,ok,3137,6038,0.9731408554864756,2.840913366863274,1.054228755579708,0.9871274724699451,2.938297588204622,4.040044115315145,14.02058157261586,14992.825515332454,1,1.0
valve_0403_lidar_classes.ply,6,404,complex,poisson,ok,2242,4241,0.8628076049466982,2.5520417735031717,0.936168677137404,0.8878082085341702,4.639176680924584,6.311677802944161,23.13365859477671,7904.677912001471,1,1.0
valve_0403_lidar_classes.ply,7,368,complex,poisson,ok,2433,4613,0.8566266760076143,2.824886020128027,0.9624459933499292,0.8245695333576548,3.268769918069933,4.188357117748392,13.259919649294652,6389.165151211275,1,1.0
valve_0403_lidar_classes.ply,8,718,complex,poisson,ok,2688,5131,1.1231188693241516,3.0788586007136916,1.2166085272346687,1.1414305490158254,5.235012747777013,7.18380519494335,19.49401803598149,14781.736401824628,1,1.0
valve_0403_lidar_classes.ply,9,3251,spherical,ball_pivoting,ok,3225,6186,0.028047975794644343,4.5093288914694725,0.319811138925207,0.0,0.0,0.0,4.5093288914694725,31940.367318381082,1,1.0
valve_0404_lidar_classes.ply,0,827,tubular,ball_pivoting,ok,825,1566,0.013428588355993708,5.681977701160907,0.2731402804395394,0.0,0.0,0.0,5.681977701160907,8973.391019985222,1,1.0
valve_0404_lidar_classes.ply,1,215,complex,poisson,ok,3045,5817,0.6637354886114981,6.177507169265382,0.8572845293589964,0.6214249229029829,3.338266353527864,4.233140350680187,12.621001909391424,4651.028282108308,14,0.9821213684029568
valve_0404_lidar_classes.ply,2,74,complex,poisson,ok,2034,3856,0.39650125039536976,3.259620917065128,0.5330529133839267,0.3593570866688707,1.5709733672961448,1.7440283173101372,4.159899326160648,868.048875295921,17,0.9605809128630706
valve_0404_lidar_classes.ply,3,792,tubular,ball_pivoting,ok,494,860,1.7743160382654382,6.6431076090950345,2.9518764902238908,0.0,0.0,0.0,6.6431076090950345,5610.133831010946,4,0.9953488372093023
valve_0404_lidar_classes.ply,4,108,complex,poisson,ok,2925,5519,0.4844887675631061,2.2250510022865577,0.5395623725150444,0.4886559529677371,3.450072387124304,4.224333928401541,12.583123327275658,2681.2117528170024,3,0.9971009240804494
valve_0404_lidar_classes.ply,5,1060,complex,poisson,ok,3334,6438,0.9836435776041721,2.9554921228761,1.0798218683453575,1.0102562140513904,2.7712593602342763,3.83822573291473,12.847159560743815,14979.269650994154,1,1.0
valve_0404_lidar_classes.ply,6,919,complex,poisson,ok,3177,6099,1.0121573866171647,3.0040122214463807,1.1420599504238123,0.9303964891270274,3.186243591765839,4.39036902693896,13.717030437357941,9422.14149205514,1,1.0
valve_0404_lidar_classes.ply,7,412,complex,poisson,ok,2788,5269,0.9877320355149458,2.925419513902083,1.124308714966904,0.8921213272001804,3.979943570702643,5.202198804659446,17.149246653069472,7791.288414966032,4,0.9954450559878535
valve_0404_lidar_classes.ply,8,687,complex,poisson,ok,2551,4867,0.9731222268618962,3.0728392633070793,1.0564548844682893,0.9774278416601814,2.7957933635447265,3.74519391857522,16.31237077876783,11051.843206398466,1,1.0
valve_0404_lidar_classes.ply,9,2672,complex,poisson,ok,6683,12926,1.3150963095043722,20.878317475643485,2.097774799650844,0.9398780993245153,1.3681003030127925,1.4879621169121162,20.878317475643485,24704.778220129425,1,1.0
